date,symbol,pnl_usd,cumulative_usd
2024-06-20,XLI,80.83,7705.73
2024-06-21,EEM,-2.48,7703.25
2024-06-21,IWM,-145.32,7557.93
2024-06-21,KRE,-166.89,7391.04
2024-07-01,TLT,31.03,7422.07
2024-07-02,XLF,18.72,7440.79
2024-07-02,IEF,29.14,7469.93
2024-07-03,GDX,24.32,7494.25
2024-07-10,XLK,70.8,7565.05
2024-07-11,KRE,29.39,7594.44
2024-07-16,XLI,85.22,7679.66
2024-07-23,EWZ,5.84,7685.5
2024-07-23,LQD,71.62,7757.12
2024-07-24,XLY,78.05,7835.17
2024-07-25,HYG,27.36,7862.53
2024-07-26,EFA,95.61,7958.14
2024-07-29,EEM,36.63,7994.77
2024-07-29,XLC,92.0,8086.77
2024-07-29,XLP,41.1,8127.87
2024-07-30,AGG,41.72,8169.59
2024-07-31,XLV,104.34,8273.93
2024-08-02,DIA,116.67,8390.6
2024-08-05,XLB,33.39,8423.99
2024-08-05,XBI,64.3,8488.29
2024-08-08,XLE,16.88,8505.17
2024-08-12,SLV,15.54,8520.71
2024-08-12,FXI,11.62,8532.33
2024-08-16,VNQ,-114.98,8417.35
2024-08-16,XLRE,-118.75,8298.6
2024-08-16,XLU,-49.16,8249.44
2024-08-19,QQQ,97.94,8347.38
2024-08-30,GDX,41.27,8388.65
2024-09-13,XLY,62.06,8450.71
2024-09-19,SMH,115.0,8565.71
2024-09-19,KRE,22.53,8588.24
2024-09-20,IEF,-61.08,8527.16
2024-09-30,LQD,51.3,8578.46
2024-09-30,XLP,30.75,8609.21
2024-10-01,EFA,76.44,8685.65
2024-10-02,AGG,34.15,8719.8
2024-10-02,XBI,104.23,8824.03
2024-10-02,XLRE,34.25,8858.28
2024-10-03,VNQ,42.6,8900.88
2024-10-04,XLF,17.3,8918.18
2024-10-07,HYG,32.66,8950.84
2024-10-07,XLB,39.14,8989.98
2024-10-14,XLV,132.11,9122.09
2024-10-16,TLT,51.53,9173.62
2024-10-18,EEM,-27.64,9145.98
2024-10-18,FXI,-61.4,9084.58
2024-10-18,XLC,-55.42,9029.16
2024-10-18,XLI,-290.98,8738.18
2024-10-18,XLK,55.22,8793.4
2024-10-18,XLU,-153.6,8639.8
2024-10-18,SLV,-60.76,8579.04
2024-10-18,GLD,-271.91,8307.13
2024-10-18,IWM,112.54,8419.67
2024-10-18,GDX,35.88,8455.55
2024-10-28,XLE,16.6,8472.15
2024-10-29,SMH,95.79,8567.94
2024-10-29,QQQ,92.81,8660.75
2024-11-12,XLB,17.67,8678.42
2024-11-15,IEF,-153.53,8524.89
2024-11-21,AGG,13.38,8538.27
2024-11-21,XLU,26.24,8564.51
2024-11-22,VNQ,22.69,8587.2
2024-11-29,LQD,95.65,8682.85
2024-11-29,XLRE,37.79,8720.64
2024-12-02,EFA,98.94,8819.58
2024-12-02,HYG,40.43,8860.01
2024-12-02,XBI,124.03,8984.04
2024-12-02,XLP,42.07,9026.11
2024-12-02,GDX,18.62,9044.73
2024-12-03,SLV,11.18,9055.91
2024-12-05,XLI,107.11,9163.02
2024-12-05,XLF,16.34,9179.36
2024-12-09,EEM,53.39,9232.75
2024-12-09,FXI,17.26,9250.01
2024-12-09,XLK,125.29,9375.3
2024-12-16,IWM,64.29,9439.59
2024-12-16,SMH,82.36,9521.95
2024-12-20,XLC,-98.94,9423.01
2024-12-20,XLY,-274.31,9148.7
2024-12-20,XLV,-274.77,8873.93
2024-12-20,XLE,-83.88,8790.05
2025-01-02,GLD,73.79,8863.84
2025-01-10,EEM,21.64,8885.48
2025-01-15,HYG,16.26,8901.74
2025-01-15,KRE,25.6,8927.34
2025-01-17,IEF,-73.62,8853.72
2025-01-27,XLP,21.28,8875.0
2025-01-28,XLU,27.72,8902.72
2025-02-03,GDX,18.65,8921.37
2025-02-05,XLK,116.67,9038.04
2025-02-07,XLI,91.41,9129.45
2025-02-12,LQD,33.93,9163.38
2025-02-12,TLT,18.21,9181.59
2025-02-18,QQQ,79.52,9261.11
2025-02-19,SPY,69.03,9330.14
2025-02-21,XLC,199.92,9530.06
2025-02-21,XLF,35.86,9565.92
2025-02-26,XLE,8.49,9574.41
2025-03-03,SLV,15.33,9589.74
2025-03-03,XLV,99.0,9688.74
2025-03-06,XLRE,44.14,9732.88
2025-03-10,EFA,55.51,9788.39
2025-03-10,VNQ,20.16,9808.55
2025-03-10,XLB,18.21,9826.76
2025-03-21,GLD,-274.67,9552.09
2025-03-21,XLY,-385.32,9166.77
2025-03-21,FXI,-63.07,9103.7
2025-03-21,IWM,-268.79,8834.91
2025-03-21,AGG,-37.71,8797.2
2025-03-21,IEF,-72.42,8724.78
2025-03-21,SMH,-331.2,8393.58
2025-03-31,XLU,36.51,8430.09
2025-04-04,EWZ,10.11,8440.2
2025-04-04,XLF,11.89,8452.09
2025-04-17,EEM,-21.09,8431.0
2025-04-17,HYG,-80.5,8350.5
2025-04-17,XLI,-357.65,7992.85
2025-04-17,XLC,-307.25,7685.6
2025-04-29,IEF,28.86,7714.46
2025-05-02,SLV,17.7,7732.16
2025-05-16,AGG,-83.62,7648.54
2025-05-16,EFA,-171.73,7476.81
2025-05-16,KRE,-88.13,7388.68
2025-05-23,XLI,47.7,7436.38
2025-05-28,XLE,7.02,7443.4
2025-06-03,XLU,15.09,7458.49
2025-06-04,EEM,19.84,7478.33
2025-06-04,SMH,73.84,7552.17
2025-06-04,XLK,52.07,7604.24
2025-06-04,XLV,48.31,7652.55
2025-06-05,XLC,65.38,7717.93
2025-06-09,HYG,20.3,7738.23
2025-06-10,EWZ,11.69,7749.92
2025-06-10,XLY,52.43,7802.35
2025-06-10,QQQ,83.69,7886.04
2025-06-11,EFA,62.81,7948.85
2025-06-12,XLP,43.88,7992.73
2025-06-20,SLV,-83.96,7908.77
2025-06-30,FXI,18.53,7927.3
2025-07-02,SMH,84.15,8011.45
2025-07-07,XLRE,18.6,8030.05
